Arbrook,Drawing Time,BGFX,Drawing Time,Native,Drawing Time,
 ,0.0049, ,0.2443, ,0.0097,
 ,0.0035, ,0.6778, ,0.0063,
 ,0.0038, ,0.2496, ,0.0086,
 ,0.0066, ,0.2657, ,0.0042,
 ,0.0039, ,0.309, ,0.0078,
 ,0.0037, ,0.2665, ,0.0051,
 ,0.0038, ,0.4024, ,0.0042,
 ,0.004, ,0.43, ,0.0039,
 ,0.004, ,0.2256, ,0.006,
 ,0.0036, ,0.2165, ,0.0046,
 ,0.0038, ,0.2311, ,0.004,
 ,0.0042, ,0.2952, ,0.0044,
 ,0.0039, ,0.2187, ,0.0049,
 ,0.0036, ,0.2461, ,0.0043,
 ,0.0037, ,0.2081, ,0.0043,
 ,0.0041, ,0.2024, ,0.0042,
 ,0.0036, ,0.2381, ,0.0043,
 ,0.0036, ,0.227, ,0.0043,
 ,0.004, ,0.1734, ,0.004,
 ,0.0043, ,0.2218, ,0.0037,
 ,0.0039, ,0.1659, ,0.0039,
 ,0.0046, ,0.6141, ,0.0036,
 ,0.0038, ,0.2275, ,0.0042,
 ,0.004, ,0.2104, ,0.0038,
 ,0.004, ,0.1944, ,0.0038,
 ,0.0037, ,0.1764, ,0.0045,
 ,0.0037, ,0.1828, ,0.0042,
 ,0.0041, ,0.1702, ,0.004,
 ,0.0039, ,0.1731, ,0.0044,
 ,0.0037, ,0.1707, ,0.0041,
 ,0.0037, ,0.1783, ,0.0039,
 ,0.0043, ,0.1779, ,0.0043,
 ,0.0037, ,0.1712, ,0.0043,
 ,0.0037, ,0.1684, ,0.004,
 ,0.0039, ,0.1677, ,0.0038,
 ,0.0043, ,0.1681, ,0.0039,
 ,0.004, ,0.1698, ,0.0039,
 ,0.0037, ,0.1718, ,0.0039,
 ,0.0037, ,0.169, ,0.0039,
 ,0.0038, ,0.1698, ,0.0043,
 ,0.004, ,0.1677, ,0.0047,
 ,0.0037, ,0.1759, ,0.0041,
 ,0.0038, ,0.1679, ,0.0042,
 ,0.007, ,0.1669, ,0.004,
 ,0.0046, ,0.1688, ,0.0041,
 ,0.004, ,0.1691, ,0.004,
 ,0.0042, ,0.1691, ,0.0039,
 ,0.004, ,0.1701, ,0.004,
 ,0.0038, ,0.1718, ,0.0041,
 ,0.0036, ,0.1678, ,0.004,
 ,0.0037, ,0.1698, ,0.0041,
 ,0.0038, ,0.1695, ,0.004,
 ,0.0039, ,0.167, ,0.0045,
 ,0.0036, ,0.1718, ,0.0049,
 ,0.0036, ,0.1694, ,0.0041,
 ,0.0062, ,0.1693, ,0.004,
 ,0.0036, ,0.1687, ,0.0045,
 ,0.0035, ,0.1667, ,0.0044,
 ,0.004, ,0.1672, ,0.004,
 ,0.0043, ,0.1854, ,0.004,
 ,0.0039, ,0.1669, ,0.0044,
 ,0.0037, ,0.168, ,0.0039,
 ,0.0037, ,0.1681, ,0.0057,
 ,0.0038, ,0.1671, ,0.0037,
