Arbrook,Drawing Time,BGFX,Drawing Time,Native,Drawing Time,
 ,0.1286, ,0.2502, ,0.1195,
 ,0.0026, ,0.6503, ,0.0018,
 ,0.0031, ,0.2222, ,0.0015,
 ,0.0029, ,0.3478, ,0.0015,
 ,0.0023, ,0.4852, ,0.0013,
 ,0.0022, ,0.2878, ,0.0013,
 ,0.0023, ,0.2703, ,0.0014,
 ,0.0022, ,0.314, ,0.0014,
 ,0.0021, ,0.1759, ,0.0013,
 ,0.0027, ,0.213, ,0.0014,
 ,0.0023, ,0.5476, ,0.0013,
 ,0.0023, ,0.1987, ,0.0014,
 ,0.0022, ,0.2138, ,0.0013,
 ,0.0022, ,0.1732, ,0.0013,
 ,0.0021, ,0.2082, ,0.0013,
 ,0.0021, ,0.2079, ,0.0014,
 ,0.0022, ,0.2466, ,0.0017,
 ,0.0022, ,0.197, ,0.0015,
 ,0.0021, ,0.1728, ,0.0019,
 ,0.0021, ,0.1656, ,0.0015,
 ,0.0022, ,0.1605, ,0.0015,
 ,0.0022, ,0.2169, ,0.0015,
 ,0.0021, ,0.1696, ,0.0014,
 ,0.0023, ,0.1686, ,0.0016,
 ,0.0022, ,0.1585, ,0.0016,
 ,0.0021, ,0.1633, ,0.0016,
 ,0.0022, ,0.1636, ,0.0016,
 ,0.0022, ,0.1646, ,0.0015,
 ,0.0023, ,0.2141, ,0.0016,
 ,0.0022, ,0.1594, ,0.002,
 ,0.0022, ,0.1625, ,0.0015,
 ,0.0022, ,0.1612, ,0.0015,
 ,0.0022, ,0.1644, ,0.0014,
 ,0.0024, ,0.1612, ,0.0014,
 ,0.0022, ,0.1617, ,0.0014,
 ,0.0023, ,0.1616, ,0.0013,
 ,0.0021, ,0.1631, ,0.0014,
 ,0.0022, ,0.163, ,0.0013,
 ,0.0021, ,0.1621, ,0.0014,
 ,0.0023, ,0.2621, ,0.0014,
 ,0.0021, ,0.2164, ,0.0014,
 ,0.0022, ,0.173, ,0.0014,
 ,0.0022, ,0.1706, ,0.0013,
 ,0.0021, ,0.1636, ,0.0014,
 ,0.0022, ,0.1635, ,0.0013,
 ,0.0022, ,0.1662, ,0.0013,
 ,0.0021, ,0.1653, ,0.0013,
 ,0.0021, ,0.1628, ,0.0014,
 ,0.0022, ,0.163, ,0.0013,
 ,0.0022, ,0.1623, ,0.0014,
 ,0.0022, ,0.1542, ,0.0013,
 ,0.0022, ,0.1348, ,0.0015,
 ,0.0023, ,0.5204, ,0.0013,
 ,0.0022, ,0.1771, ,0.0013,
 ,0.0022, ,0.1947, ,0.0013,
 ,0.0022, ,0.1646, ,0.0013,
 ,0.0022, ,0.1628, ,0.0013,
 ,0.0021, ,0.1622, ,0.0018,
 ,0.0022, ,0.1649, ,0.0015,
 ,0.0023, ,0.1626, ,0.0015,
 ,0.0022, ,0.1632, ,0.0015,
 ,0.0022, ,0.1929, ,0.0014,
 ,0.0022, ,0.1644, ,0.0015,
 ,0.0022, ,0.1627, ,0.0014,
 ,0.0021, ,0.1691, ,0.0013,
 ,0.0022, ,0.1623, ,0.0013,
 ,0.0022, ,0.1629, ,0.0014,
 ,0.0022, ,0.1639, ,0.0014,
 ,0.0033, ,0.162, ,0.0013,
 ,0.003, ,0.1641, ,0.0013,
 ,0.0028, ,0.229, ,0.0013,
 ,0.0027, ,0.1682, ,0.0014,
 ,0.0022, ,0.1664, ,0.0014,
 ,0.0022, ,0.162, ,0.0014,
 ,0.0023, ,0.1615, ,0.0014,
 ,0.0025, ,0.1626, ,0.0013,
 ,0.0023, ,0.1645, ,0.0014,
 ,0.0022, ,0.1641, ,0.0013,
 ,0.0022, ,0.1632, ,0.0013,
 ,0.0022, ,0.1635, ,0.0013,
 ,0.0023, ,0.1631, ,0.0013,
 ,0.0026, ,0.1625, ,0.0013,
 ,0.0024, ,0.1617, ,0.0013,
 ,0.0023, ,0.1622, ,0.0013,
 ,0.0026, ,0.1614, ,0.0014,
 ,0.0025, ,0.167, ,0.0013,
 ,0.0025, ,0.1634, ,0.0013,
 ,0.0032, ,0.1625, ,0.0013,
 ,0.0031, ,0.1625, ,0.0013,
 ,0.0024, ,0.1622, ,0.0014,
 ,0.0025, ,0.1641, ,0.0014,
 ,0.0027, ,0.1621, ,0.0013,
 ,0.0023, ,0.1617, ,0.0013,
 ,0.0025, ,0.1705, ,0.0013,
 ,0.0031, ,0.1639, ,0.0013,
 ,0.0031, ,0.1625, ,0.0014,
 ,0.0029, ,0.1623, ,0.0014,
 ,0.0027, ,0.2086, ,0.0013,
 ,0.0029, ,0.1653, ,0.0013,
 ,0.0027, ,0.1643, ,0.0013,
 ,0.003, ,0.1622, ,0.0014,
 ,0.0029, ,0.1648, ,0.0013,
 ,0.0027, ,0.164, ,0.0013,
 ,0.0027, ,0.1664, ,0.0014,
 ,0.0026, ,0.1645, ,0.0013,
 ,0.0023, ,0.1631, ,0.0014,
 ,0.0025, ,0.1617, ,0.0014,
 ,0.0023, ,0.1616, ,0.0013,
 ,0.0025, ,0.1659, ,0.0013,
 ,0.0022, ,0.1641, ,0.0013,
 ,0.0025, ,0.1622, ,0.0014,
 ,0.0023, ,0.1619, ,0.0014,
