Arbrook,Material Switch Time,BGFX,Material Switch Time,Native,Material Switch Time,
 ,0.0033, ,2e-04, ,0.1135,
 ,0.0037, ,2e-04, ,0.1188,
 ,0.0061, ,1e-04, ,0.1314,
 ,0.002, ,2e-04, ,0.1183,
 ,0.1277, ,1e-04, ,0.12,
 ,0.002, ,1e-04, ,0.1171,
 ,0.0017, ,2e-04, ,0.1067,
 ,0.0018, ,1e-04, ,0.1314,
 ,0.0024, ,1e-04, ,0.1139,
 ,0.0017, ,1e-04, ,0.1617,
 ,0.0019, ,1e-04, ,0.2178,
 ,0.0017, ,1e-04, ,0.1346,
 ,0.0019, ,1e-04, ,0.1731,
 ,0.0016, ,1e-04, ,0.1503,
 ,0.0015, ,0, ,0.1577,
 ,0.0016, ,0, ,0.1119,
 ,0.0021, ,1e-04, ,0.106,
 ,0.0018, ,1e-04, ,0.1155,
 ,0.0019, ,0, ,0.1058,
 ,0.0017, ,1e-04, ,0.1203,
 ,0.0019, ,1e-04, ,0.1271,
 ,0.0017, ,1e-04, ,0.1113,
 ,0.0018, ,1e-04, ,0.1135,
 ,0.0017, ,0, ,0.1084,
 ,0.002, ,1e-04, ,0.1104,
 ,0.0016, ,1e-04, ,0.1051,
 ,0.0017, ,1e-04, ,0.1054,
 ,0.0018, ,0, ,0.1138,
 ,0.002, ,1e-04, ,0.1103,
 ,0.0018, ,1e-04, ,0.1194,
 ,0.0017, ,1e-04, ,0.1101,
 ,0.0018, ,1e-04, ,0.1085,
 ,0.0021, ,1e-04, ,0.1106,
 ,0.0016, ,1e-04, ,0.0999,
 ,0.0017, ,1e-04, ,0.1172,
 ,0.0017, ,1e-04, ,0.1066,
 ,0.0019, ,0, ,0.1055,
 ,0.0017, ,1e-04, ,0.1061,
 ,0.0017, ,1e-04, ,0.1012,
 ,0.0018, ,1e-04, ,0.1059,
 ,0.0019, ,2e-04, ,0.1056,
 ,0.0016, ,1e-04, ,0.1053,
 ,0.0016, ,0, ,0.0986,
 ,0.0017, ,1e-04, ,0.0999,
 ,0.002, ,1e-04, ,0.1043,
 ,0.0015, ,1e-04, ,0.1042,
 ,0.0017, ,1e-04, ,0.0991,
 ,0.0023, ,1e-04, ,0.0992,
 ,0.0023, ,0, ,0.1038,
 ,0.0019, ,1e-04, ,0.1014,
 ,0.0018, ,1e-04, ,0.0999,
 ,0.0018, ,1e-04, ,0.0989,
 ,0.002, ,1e-04, ,0.1039,
 ,0.0017, ,0, ,0.1129,
 ,0.0017, ,1e-04, ,0.1001,
 ,0.0018, ,1e-04, ,0.0993,
 ,0.0025, ,0, ,0.0974,
 ,0.0018, ,0, ,0.1037,
 ,0.002, ,1e-04, ,0.1007,
 ,0.0019, ,1e-04, ,0.1349,
 ,0.0021, ,0, ,0.1247,
 ,0.0016, ,1e-04, ,0.1048,
 ,0.0016, ,1e-04, ,0.1015,
 ,0.0017, ,1e-04, ,0.1065,
 ,0.0021, ,0, ,0.117,
 ,0.0017, ,1e-04, ,0.1006,
 ,0.0016, ,1e-04, ,0.1018,
 ,0.0018, ,1e-04, ,0.1129,
 ,0.0019, ,0, ,0.1179,
 ,0.0018, ,1e-04, ,0.1072,
 ,0.0018, ,1e-04, ,0.1024,
 ,0.0018, ,1e-04, ,0.1534,
 ,0.0021, ,1e-04, ,0.151,
 ,0.0018, ,0, ,0.1516,
 ,0.0018, ,1e-04, ,0.1492,
 ,0.0018, ,0, ,0.1525,
 ,0.002, ,1e-04, ,0.1336,
 ,0.0018, ,1e-04, ,0.1038,
 ,0.0016, ,1e-04, ,0.1023,
 ,0.0018, ,1e-04, ,0.0997,
 ,0.002, ,0, ,0.1025,
 ,0.0017, ,1e-04, ,0.1021,
 ,0.0017, ,1e-04, ,0.0999,
 ,0.0018, ,0, ,0.1022,
 ,0.0019, ,1e-04, ,0.1084,
 ,0.0016, ,1e-04, ,0.1024,
 ,0.0017, ,1e-04, ,0.11,
 ,0.0018, ,1e-04, ,0.0992,
 ,0.0021, ,1e-04, ,0.1068,
 ,0.0018, ,1e-04, ,0.1014,
 ,0.0017, ,1e-04, ,0.1067,
 ,0.0018, ,1e-04, ,0.0998,
 ,0.0021, ,1e-04, ,0.1179,
 ,0.0016, ,1e-04, ,0.1011,
 ,0.0017, ,1e-04, ,0.0991,
 ,0.0018, ,1e-04, ,0.1015,
 ,0.0021, ,1e-04, ,0.101,
 ,0.0017, ,1e-04, ,0.0996,
 ,0.0017, ,0, ,0.1015,
 ,0.0018, ,2e-04, ,0.1027,
 ,0.0019, ,2e-04, ,0.1052,
 ,0.0017, ,2e-04, ,0.1012,
 ,0.0017, ,1e-04, ,0.1002,
 ,0.0018, ,1e-04, ,0.0989,
 ,0.0021, ,1e-04, ,0.1012,
 ,0.0018, ,0, ,0.0988,
 ,0.0018, ,1e-04, ,0.1001,
 ,0.0017, ,1e-04, ,0.1,
 ,0.0018, ,1e-04, ,0.1018,
 ,0.0017, ,1e-04, ,0.1015,
 ,0.0018, ,1e-04, ,0.101,
 ,0.0018, ,1e-04, ,0.0997,
 ,0.0021, ,1e-04, ,0.1033,
 ,0.0018, ,1e-04, ,0.1012,
 ,0.0021, ,1e-04, ,0.0996,
 ,0.0018, ,1e-04, ,0.1009,
 ,0.002, ,1e-04, ,0.1019,
 ,0.0018, ,0, ,0.1001,
 ,0.0017, ,0, ,0.0979,
 ,0.0018, ,1e-04, ,0.0994,
 ,0.002, ,1e-04, ,0.1168,
 ,0.0017, ,1e-04, ,0.1002,
 ,0.0019, ,1e-04, ,0.1132,
 ,0.0038, ,1e-04, ,0.1006,
 ,0.002, ,1e-04, ,0.113,
 ,0.0017, ,1e-04, ,0.1081,
 ,0.0018, ,0, ,0.1029,
 ,0.0019, ,1e-04, ,0.1124,
 ,0.0021, ,0, ,0.1019,
 ,0.0018, ,1e-04, ,0.1024,
 ,0.0017, ,0, ,0.111,
 ,0.0016, ,1e-04, ,0.1134,
 ,0.0022, ,1e-04, ,0.1398,
 ,0.0018, ,1e-04, ,0.1014,
 ,0.0016, ,1e-04, ,0.1026,
 ,0.0018, ,1e-04, ,0.101,
 ,0.0025, ,1e-04, ,0.1334,
 ,0.0019, ,0, ,0.1143,
 ,0.0016, ,2e-04, ,0.1003,
 ,0.0017, ,1e-04, ,0.1024,
 ,0.0017, ,1e-04, ,0.1105,
 ,0.0018, ,1e-04, ,0.1186,
 ,0.0017, ,0, ,0.1083,
 ,0.0017, ,0, ,0.1099,
 ,0.002, ,0, ,0.1038,
 ,0.0017, ,1e-04, ,0.1137,
 ,0.0016, ,1e-04, ,0.1007,
 ,0.0019, ,1e-04, ,0.1016,
 ,0.0021, ,1e-04, ,0.1107,
 ,0.0018, ,1e-04, ,0.1191,
 ,0.0017, ,1e-04, ,0.0993,
 ,0.0017, ,1e-04, ,0.0998,
 ,0.002, ,1e-04, ,0.1006,
 ,0.0016, ,1e-04, ,0.0989,
 ,0.0017, ,1e-04, ,0.106,
 ,0.0016, ,0, ,0.0999,
 ,0.0019, ,1e-04, ,0.1095,
 ,0.0017, ,1e-04, ,0.1018,
 ,0.0016, ,1e-04, ,0.1197,
 ,0.0018, ,1e-04, ,0.1008,
 ,0.002, ,1e-04, ,0.102,
 ,0.0018, ,0, ,0.1174,
 ,0.0018, ,1e-04, ,0.1117,
 ,0.0019, ,1e-04, ,0.1137,
 ,0.0021, ,1e-04, ,0.111,
 ,0.0017, ,1e-04, ,0.1109,
 ,0.0017, ,1e-04, ,0.1143,
 ,0.0017, ,1e-04, ,0.1003,
 ,0.0021, ,1e-04, ,0.1066,
 ,0.0017, ,1e-04, ,0.1009,
 ,0.0017, ,0, ,0.1006,
 ,0.0017, ,1e-04, ,0.1172,
 ,0.0019, ,1e-04, ,0.1067,
 ,0.0017, ,1e-04, ,0.0981,
 ,0.0017, ,1e-04, ,0.0986,
 ,0.0016, ,1e-04, ,0.1059,
 ,0.002, ,1e-04, ,0.1089,
 ,0.0018, ,1e-04, ,0.1022,
 ,0.0016, ,1e-04, ,0.1068,
 ,0.0017, ,1e-04, ,0.1113,
 ,0.0021, ,1e-04, ,0.1003,
 ,0.0016, ,0, ,0.1027,
 ,0.0017, ,1e-04, ,0.1098,
 ,0.0019, ,1e-04, ,0.0996,
 ,0.002, ,1e-04, ,0.1013,
 ,0.0018, ,1e-04, ,0.0987,
 ,0.0018, ,1e-04, ,0.1101,
 ,0.0018, ,1e-04, ,0.113,
 ,0.002, ,1e-04, ,0.1005,
 ,0.0018, ,1e-04, ,0.1086,
 ,0.0017, ,1e-04, ,0.1007,
 ,0.0017, ,1e-04, ,0.0984,
 ,0.002, ,1e-04, ,0.1014,
 ,0.0018, ,0, ,0.1132,
 ,0.0017, ,1e-04, ,0.1044,
 ,0.0017, ,1e-04, ,0.1112,
 ,0.0019, ,1e-04, ,0.1106,
 ,0.0017, ,0, ,0.1245,
 ,0.0016, ,1e-04, ,0.1126,
 ,0.0017, ,1e-04, ,0.1094,
 ,0.002, ,1e-04, ,0.1078,
 ,0.004, ,1e-04, ,0.1074,
 ,0.0016, ,1e-04, ,0.1031,
 ,0.0017, ,0, ,0.1036,
 ,0.002, ,1e-04, ,0.1021,
 ,0.0016, ,1e-04, ,0.1102,
 ,0.0018, ,1e-04, ,0.1085,
 ,0.0018, ,1e-04, ,0.1051,
 ,0.002, ,1e-04, ,0.1024,
 ,0.0016, ,1e-04, ,0.0992,
 ,0.0017, ,0, ,0.105,
 ,0.0017, ,1e-04, ,0.1102,
 ,0.0022, ,0, ,0.1105,
 ,0.0017, ,1e-04, ,0.0996,
 ,0.0017, ,1e-04, ,0.1077,
 ,0.0016, ,1e-04, ,0.1082,
 ,0.0021, ,1e-04, ,0.125,
 ,0.0017, ,1e-04, ,0.106,
 ,0.0016, ,1e-04, ,0.1036,
 ,0.0016, ,1e-04, ,0.0997,
 ,0.0018, ,0, ,0.105,
 ,0.0016, ,0, ,0.0989,
 ,0.0016, ,1e-04, ,0.099,
 ,0.0018, ,1e-04, ,0.0997,
 ,0.002, ,1e-04, ,0.108,
 ,0.0018, ,1e-04, ,0.1016,
 ,0.0017, ,1e-04, ,0.1016,
 ,0.0016, ,1e-04, ,0.1061,
 ,0.002, ,1e-04, ,0.1,
 ,0.0017, ,1e-04, ,0.1,
 ,0.0016, ,1e-04, ,0.1005,
 ,0.0017, ,1e-04, ,0.1,
 ,0.002, ,1e-04, ,0.1015,
 ,0.0016, ,0, ,0.1026,
 ,0.0016, ,1e-04, ,0.0989,
 ,0.0016, ,1e-04, ,0.0992,
 ,0.0018, ,1e-04, ,0.1072,
 ,0.0017, ,1e-04, ,0.1037,
 ,0.0017, ,1e-04, ,0.0992,
 ,0.0017, ,1e-04, ,0.099,
 ,0.002, ,1e-04, ,0.1082,
 ,0.0018, ,0, ,0.0978,
 ,0.0019, ,1e-04, ,0.1091,
 ,0.0017, ,1e-04, ,0.098,
 ,0.002, ,1e-04, ,0.1085,
 ,0.0017, ,1e-04, ,0.0996,
 ,0.0018, ,1e-04, ,0.1113,
 ,0.0017, ,1e-04, ,0.0998,
 ,0.0021, ,1e-04, ,0.1093,
 ,0.0016, ,2e-04, ,0.0995,
 ,0.0018, ,1e-04, ,0.1132,
 ,0.0017, ,1e-04, ,0.1008,
 ,0.0019, ,1e-04, ,0.1026,
 ,0.0016, ,1e-04, ,0.1171,
 ,0.0017, ,0, ,0.1101,
 ,0.0017, ,1e-04, ,0.1067,
 ,0.0021, ,1e-04, ,0.113,
 ,0.0018, ,0, ,0.1003,
 ,0.0017, ,1e-04, ,0.1118,
 ,0.0018, ,1e-04, ,0.1091,
 ,0.0021, ,1e-04, ,0.1113,
 ,0.0018, ,1e-04, ,0.1108,
 ,0.0017, ,1e-04, ,0.1029,
 ,0.0017, ,1e-04, ,0.1035,
