Arbrook,FrameTime,SetupTime,Material Switch Time,BGFX,FrameTime,SetupTime,Material Switch Time,Native,FrameTime,SetupTime,Material Switch Time,
 ,10.6274,0.5853,0.0027, ,0.1392,79.045,2e-04, ,0.0252,0.7448,0.001,
 ,0.0702, ,0.0034, ,0.677, ,1e-04, ,0.0067, ,0.0016,
 ,0.068, ,0.0027, ,0.2751, ,2e-04, ,0.0061, ,0.0016,
 ,0.3301, ,0.0028, ,0.2537, ,1e-04, ,0.0057, ,0.0016,
 ,0.0068, ,0.0026, ,0.2218, ,1e-04, ,0.0063, ,0.0017,
 ,0.0061, ,0.0024, ,0.1837, ,1e-04, ,0.0049, ,0.0015,
 ,0.0066, ,0.0023, ,0.2127, ,1e-04, ,0.0059, ,0.0016,
 ,0.0062, ,0.0024, ,0.1667, ,1e-04, ,0.0072, ,0.002,
 ,0.0059, ,0.0022, ,0.1839, ,1e-04, ,0.007, ,0.002,
 ,0.0065, ,0.0023, ,0.1636, ,1e-04, ,0.006, ,0.0018,
 ,0.0061, ,0.0023, ,0.2267, ,1e-04, ,0.0056, ,0.0017,
 ,0.006, ,0.0022, ,0.1764, ,1e-04, ,0.0048, ,0.0015,
 ,0.0061, ,0.0023, ,0.2185, ,1e-04, ,0.0047, ,0.0015,
 ,0.0066, ,0.0022, ,0.1681, ,1e-04, ,0.005, ,0.0015,
 ,0.0061, ,0.0023, ,0.2233, ,1e-04, ,0.0046, ,0.0014,
 ,0.0062, ,0.0023, ,0.1729, ,1e-04, ,0.0046, ,0.0014,
 ,0.0062, ,0.0023, ,0.2225, ,1e-04, ,0.0057, ,0.0015,
 ,0.006, ,0.0023, ,0.1714, ,1e-04, ,0.0052, ,0.0015,
 ,0.0059, ,0.0023, ,0.2265, ,1e-04, ,0.0048, ,0.0016,
 ,0.0068, ,0.0023, ,0.1753, ,1e-04, ,0.0055, ,0.0016,
 ,0.0061, ,0.0024, ,0.1552, ,1e-04, ,0.0046, ,0.0014,
 ,0.0061, ,0.0024, ,0.3869, ,1e-04, ,0.0045, ,0.0014,
 ,0.0061, ,0.0023, ,0.1429, ,2e-04, ,0.0045, ,0.0014,
 ,0.006, ,0.0023, ,0.1434, ,2e-04, ,0.0045, ,0.0014,
 ,0.0061, ,0.0023, ,0.1347, ,1e-04, ,0.0047, ,0.0015,
 ,0.0064, ,0.0025, ,0.1554, ,1e-04, ,0.0044, ,0.0014,
 ,0.0061, ,0.0024, ,0.257, ,2e-04, ,0.0045, ,0.0014,
 ,0.006, ,0.0023, ,0.1465, ,1e-04, ,0.0045, ,0.0014,
 ,0.0063, ,0.0024, ,0.1449, ,1e-04, ,0.005, ,0.0014,
 ,0.0061, ,0.0024, ,0.1428, ,1e-04, ,0.0045, ,0.0014,
 ,0.006, ,0.0023, ,0.1416, ,2e-04, ,0.0045, ,0.0014,
 ,0.0062, ,0.0024, ,0.1426, ,1e-04, ,0.0044, ,0.0014,
 ,0.006, ,0.0023, ,0.1428, ,1e-04, ,0.0045, ,0.0014,
 ,0.0062, ,0.0024, ,0.1424, ,1e-04, ,0.0044, ,0.0014,
 ,0.0061, ,0.0023, ,0.1407, ,1e-04, ,0.0044, ,0.0014,
 ,0.0062, ,0.0024, ,0.1415, ,1e-04, ,0.0045, ,0.0014,
 ,0.0061, ,0.0023, ,0.1432, ,1e-04, ,0.0045, ,0.0014,
 ,0.0061, ,0.0023, ,0.1375, ,1e-04, ,0.0045, ,0.0014,
 ,0.006, ,0.0023, ,0.3526, ,1e-04, ,0.0045, ,0.0014,
 ,0.0061, ,0.0023, ,0.4098, ,1e-04, ,0.0044, ,0.0014,
 ,0.006, ,0.0023, ,0.1487, ,1e-04, ,0.0044, ,0.0014,
 ,0.0061, ,0.0023, ,0.1417, ,1e-04, ,0.0044, ,0.0014,
 ,0.0078, ,0.0025, ,0.1492, ,1e-04, ,0.0052, ,0.0014,
 ,0.0064, ,0.0024, ,0.141, ,1e-04, ,0.0047, ,0.0014,
 ,0.0063, ,0.0023, ,0.1417, ,1e-04, ,0.0045, ,0.0014,
 ,0.0061, ,0.0023, ,0.1404, ,1e-04, ,0.0045, ,0.0014,
 ,0.0062, ,0.0024, ,0.1408, ,1e-04, ,0.0046, ,0.0014,
 ,0.0063, ,0.0024, ,0.1406, ,1e-04, ,0.0047, ,0.0015,
 ,0.0063, ,0.0024, ,0.1405, ,1e-04, ,0.0044, ,0.0014,
 ,0.0062, ,0.0023, ,0.1405, ,1e-04, ,0.0047, ,0.0014,
 ,0.0061, ,0.0023, ,0.1405, ,1e-04, ,0.0046, ,0.0014,
 ,0.0062, ,0.0024, ,0.1404, ,1e-04, ,0.0046, ,0.0014,
 ,0.0061, ,0.0023, ,0.1423, ,1e-04, ,0.0045, ,0.0013,
 ,0.0062, ,0.0024, ,0.1407, ,1e-04, ,0.0045, ,0.0014,
 ,0.0062, ,0.0024, ,0.221, ,1e-04, ,0.0044, ,0.0014,
 ,0.0061, ,0.0023, ,0.1729, ,1e-04, ,0.0049, ,0.0016,
 ,0.0063, ,0.0023, ,0.1564, ,1e-04, ,0.0048, ,0.0015,
 ,0.0061, ,0.0023, ,0.143, ,1e-04, ,0.0068, ,0.002,
 ,0.0064, ,0.0023, ,0.2029, ,1e-04, ,0.0054, ,0.0014,
 ,0.0062, ,0.0024, ,0.1443, ,1e-04, ,0.0048, ,0.0015,
 ,0.0064, ,0.0025, ,0.1445, ,1e-04, ,0.0057, ,0.0015,
 ,0.0062, ,0.0023, ,0.1416, ,1e-04, ,0.0051, ,0.0017,
 ,0.0061, ,0.0024, ,0.1404, ,1e-04, ,0.0049, ,0.0015,
 ,0.0071, ,0.0026, ,0.1412, ,1e-04, ,0.0063, ,0.0014,
 ,0.0062, ,0.0023, ,0.1484, ,1e-04, ,0.0045, ,0.0014,
 ,0.0062, ,0.0023, ,0.1403, ,1e-04, ,0.0046, ,0.0015,
 ,0.0061, ,0.0023, ,0.1411, ,1e-04, ,0.0045, ,0.0014,
 ,0.0061, ,0.0023, ,0.1405, ,1e-04, ,0.0044, ,0.0013,
 ,0.0064, ,0.0025, ,0.146, ,1e-04, ,0.0044, ,0.0014,
 ,0.0062, ,0.0024, ,0.1418, ,1e-04, ,0.0047, ,0.0015,
 ,0.0061, ,0.0023, ,0.141, ,1e-04, ,0.0045, ,0.0014,
 ,0.0062, ,0.0024, ,0.1405, ,1e-04, ,0.0045, ,0.0014,
 ,0.0064, ,0.0024, ,0.141, ,1e-04, ,0.0044, ,0.0014,
 ,0.0062, ,0.0023, ,0.1405, ,1e-04, ,0.0046, ,0.0014,
 ,0.0062, ,0.0024, ,0.1405, ,1e-04, ,0.0046, ,0.0014,
 ,0.0062, ,0.0024, ,0.1405, ,1e-04, ,0.0045, ,0.0014,
 ,0.0062, ,0.0023, ,0.1422, ,1e-04, ,0.0044, ,0.0013,
 ,0.0063, ,0.0023, ,0.141, ,1e-04, ,0.0044, ,0.0014,
 ,0.0062, ,0.0023, ,0.1408, ,1e-04, ,0.0044, ,0.0013,
 ,0.0063, ,0.0024, ,0.142, ,1e-04, ,0.0044, ,0.0014,
 ,0.0062, ,0.0023, ,0.1417, ,1e-04, ,0.0044, ,0.0014,
 ,0.0061, ,0.0023, ,0.1405, ,1e-04, ,0.0045, ,0.0014,
 ,0.0061, ,0.0024, ,0.1404, ,1e-04, ,0.0043, ,0.0014,
 ,0.0063, ,0.0024, ,0.1403, ,1e-04, ,0.0044, ,0.0014,
 ,0.0062, ,0.0023, ,0.1435, ,1e-04, ,0.0044, ,0.0014,
 ,0.0061, ,0.0023, ,0.1406, ,1e-04, ,0.0046, ,0.0014,
 ,0.0061, ,0.0024, ,0.1409, ,1e-04, ,0.0045, ,0.0014,
 ,0.0062, ,0.0023, ,0.1411, ,1e-04, ,0.0043, ,0.0014,
 ,0.0062, ,0.0023, ,0.1415, ,1e-04, ,0.0045, ,0.0013,
 ,0.0062, ,0.0023, ,0.1415, ,1e-04, ,0.0046, ,0.0014,
 ,0.0077, ,0.0024, ,0.1472, ,1e-04, ,0.0045, ,0.0013,
 ,0.0065, ,0.0024, ,0.1415, ,1e-04, ,0.0046, ,0.0014,
 ,0.0063, ,0.0023, ,0.144, ,1e-04, ,0.0044, ,0.0013,
 ,0.0064, ,0.0024, ,0.1416, ,1e-04, ,0.0044, ,0.0014,
 ,0.007, ,0.0024, ,0.1418, ,1e-04, ,0.0054, ,0.0013,
 ,0.0062, ,0.0024, ,0.1407, ,1e-04, ,0.0045, ,0.0014,
 ,0.0062, ,0.0023, ,0.1408, ,1e-04, ,0.0044, ,0.0014,
 ,0.0063, ,0.0024, ,0.1407, ,1e-04, ,0.0044, ,0.0014,
 ,0.0063, ,0.0023, ,0.1399, ,1e-04, ,0.0044, ,0.0014,
 ,0.0061, ,0.0024, ,0.1401, ,1e-04, ,0.0045, ,0.0014,
 ,0.0063, ,0.0024, ,0.1426, ,1e-04, ,0.0044, ,0.0014,
 ,0.0063, ,0.0023, ,0.1401, ,2e-04, ,0.0044, ,0.0014,
 ,0.0062, ,0.0024, ,0.1399, ,1e-04, ,0.0044, ,0.0014,
 ,0.0061, ,0.0024, ,0.1411, ,1e-04, ,0.0044, ,0.0013,
 ,0.0065, ,0.0025, ,0.1412, ,1e-04, ,0.0044, ,0.0013,
 ,0.0064, ,0.0024, ,0.1422, ,1e-04, ,0.0045, ,0.0014,
 ,0.0062, ,0.0023, ,0.1397, ,1e-04, ,0.0045, ,0.0014,
 ,0.0062, ,0.0024, ,0.2992, ,1e-04, ,0.0045, ,0.0013,
 ,0.0062, ,0.0024, ,0.3426, ,1e-04, ,0.0045, ,0.0014,
 ,0.0062, ,0.0024, ,0.1674, ,1e-04, ,0.0045, ,0.0014,
