Arbrook,Model Switch Time,BGFX,Model Switch Time,Native,Model Switch Time,
 ,0.033, ,6e-04, ,0.1301,
 ,1.2176, ,0.0016, ,0.4387,
 ,2.9835, ,0.0012, ,0.6402,
 ,0.1437, ,6e-04, ,0.0243,
 ,0.73, ,0.0011, ,0.5463,
 ,0.0273, ,4e-04, ,0.0252,
 ,0.0209, ,4e-04, ,0.0211,
 ,0.2503, ,3e-04, ,0.2367,
 ,3.0271, ,0.001, ,0.7467,
 ,0.1525, ,0.0011, ,0.2331,
 ,0.2624, ,4e-04, ,0.289,
 ,0.0322, ,4e-04, ,0.0211,
 ,0.0222, ,3e-04, ,0.027,
 ,0.1647, ,3e-04, ,0.2924,
 ,0.2027, ,4e-04, ,0.1937,
 ,0.0174, ,4e-04, ,0.0316,
 ,1.226, ,3e-04, ,0.3694,
 ,0.0208, ,3e-04, ,0.02,
 ,0.0201, ,4e-04, ,0.021,
 ,0.0228, ,7e-04, ,0.0204,
 ,0.4544, ,6e-04, ,0.4712,
 ,0.1459, ,6e-04, ,0.2685,
 ,0.0386, ,5e-04, ,0.0364,
 ,0.146, ,3e-04, ,0.0221,
 ,0.0205, ,4e-04, ,0.0205,
 ,0.1269, ,3e-04, ,0.135,
 ,0.2377, ,3e-04, ,0.291,
 ,0.0172, ,3e-04, ,0.02,
 ,0.3037, ,2e-04, ,0.2738,
 ,0.027, ,3e-04, ,0.0186,
 ,0.0205, ,2e-04, ,0.0228,
 ,0.0221, ,3e-04, ,0.0223,
 ,0.4152, ,3e-04, ,0.4128,
 ,0.1363, ,6e-04, ,0.1499,
 ,0.0426, ,3e-04, ,0.0358,
 ,0.0202, ,6e-04, ,0.0212,
 ,0.0187, ,3e-04, ,0.0189,
 ,0.2136, ,2e-04, ,0.1159,
 ,0.3717, ,4e-04, ,0.2091,
 ,0.0201, ,3e-04, ,0.0199,
 ,0.253, ,3e-04, ,0.2491,
 ,0.0237, ,5e-04, ,0.0542,
 ,0.0199, ,3e-04, ,0.0274,
 ,0.0201, ,4e-04, ,0.0274,
 ,0.3375, ,3e-04, ,0.3697,
 ,0.026, ,5e-04, ,0.0601,
 ,0.0363, ,4e-04, ,0.0378,
 ,0.0202, ,3e-04, ,0.0226,
 ,0.0195, ,3e-04, ,0.0202,
 ,0.1297, ,3e-04, ,0.1626,
 ,0.1519, ,3e-04, ,0.1749,
 ,0.0165, ,3e-04, ,0.0188,
 ,0.2554, ,3e-04, ,0.3114,
 ,0.0177, ,4e-04, ,0.0188,
 ,0.0204, ,3e-04, ,0.0231,
 ,0.0286, ,3e-04, ,0.0273,
 ,0.4369, ,3e-04, ,0.5782,
 ,0.0249, ,7e-04, ,0.0283,
 ,0.0346, ,3e-04, ,0.0344,
 ,0.0202, ,3e-04, ,0.0207,
 ,0.0181, ,2e-04, ,0.0192,
 ,0.1147, ,3e-04, ,0.1102,
 ,0.2178, ,2e-04, ,0.2566,
 ,0.0174, ,3e-04, ,0.019,
 ,0.3142, ,3e-04, ,0.2444,
 ,0.0177, ,3e-04, ,0.0186,
 ,0.0196, ,3e-04, ,0.02,
 ,0.0214, ,3e-04, ,0.02,
 ,0.9906, ,3e-04, ,0.3547,
 ,0.0214, ,6e-04, ,0.0198,
 ,0.0362, ,4e-04, ,0.1148,
 ,0.0189, ,3e-04, ,0.0279,
