Arbrook,FrameTime,SetupTime,Model Switch Time,BGFX,FrameTime,SetupTime,Model Switch Time,Native,FrameTime,SetupTime,Model Switch Time,
 ,0.1252,30.2238,0.0174, ,0.124,65.876,7e-04, ,0.1253,31.0387,0.003,
 ,0.6018, ,0.5965, ,3.3682, ,0.0023, ,0.7088, ,0.7045,
 ,0.7689, ,0.7642, ,0.8795, ,0.0012, ,0.6786, ,0.6743,
 ,0.0745, ,0.0705, ,0.2008, ,9e-04, ,0.0634, ,0.0601,
 ,0.8779, ,0.8735, ,1.1878, ,0.0011, ,0.8374, ,0.8336,
 ,0.084, ,0.0802, ,0.182, ,5e-04, ,0.0827, ,0.0797,
 ,0.009, ,0.0054, ,0.1793, ,4e-04, ,0.007, ,0.0043,
 ,0.0126, ,0.0093, ,0.1868, ,4e-04, ,0.0118, ,0.0091,
 ,1.2109, ,1.2061, ,1.2365, ,0.0013, ,1.3977, ,1.394,
 ,0.1539, ,0.1497, ,0.1576, ,6e-04, ,0.147, ,0.1435,
 ,0.1062, ,0.1024, ,0.4269, ,4e-04, ,0.1128, ,0.11,
 ,0.0104, ,0.007, ,0.1532, ,5e-04, ,0.0093, ,0.0064,
 ,0.0089, ,0.0055, ,0.1395, ,4e-04, ,0.0073, ,0.0049,
 ,0.3297, ,0.3252, ,0.3438, ,5e-04, ,0.3382, ,0.335,
 ,0.4434, ,0.4392, ,0.4123, ,3e-04, ,0.5282, ,0.5248,
 ,0.0641, ,0.0602, ,0.1435, ,5e-04, ,0.0621, ,0.0593,
 ,0.6359, ,0.6319, ,1.1148, ,4e-04, ,0.6406, ,0.6377,
 ,0.0837, ,0.0799, ,0.1545, ,4e-04, ,0.08, ,0.0772,
 ,0.0084, ,0.005, ,0.1352, ,5e-04, ,0.0065, ,0.004,
 ,0.0134, ,0.0091, ,0.6349, ,3e-04, ,0.0104, ,0.0075,
 ,1.3397, ,1.335, ,1.0342, ,5e-04, ,1.1868, ,1.1833,
 ,0.1491, ,0.1451, ,0.1464, ,5e-04, ,0.1421, ,0.139,
 ,0.0398, ,0.0363, ,0.3072, ,4e-04, ,0.0362, ,0.0327,
 ,0.0105, ,0.0071, ,0.5715, ,5e-04, ,0.0088, ,0.0063,
 ,0.0085, ,0.0052, ,0.1687, ,4e-04, ,0.0071, ,0.0047,
 ,0.3287, ,0.3247, ,0.3974, ,7e-04, ,0.3604, ,0.3569,
 ,0.5935, ,0.5893, ,0.4169, ,6e-04, ,0.4826, ,0.4793,
 ,0.0648, ,0.061, ,0.1727, ,5e-04, ,0.0608, ,0.0579,
 ,0.7414, ,0.7365, ,0.8438, ,4e-04, ,0.6421, ,0.6384,
 ,0.084, ,0.0802, ,0.1503, ,4e-04, ,0.0808, ,0.0778,
 ,0.0091, ,0.0056, ,0.1345, ,4e-04, ,0.0068, ,0.0044,
 ,0.0131, ,0.0097, ,0.693, ,5e-04, ,0.0106, ,0.0081,
 ,1.363, ,1.3578, ,1.2111, ,4e-04, ,1.1278, ,1.1246,
 ,0.1483, ,0.1443, ,0.1505, ,5e-04, ,0.1459, ,0.1429,
 ,0.0392, ,0.0356, ,0.1728, ,4e-04, ,0.0339, ,0.0313,
 ,0.0104, ,0.007, ,0.5758, ,4e-04, ,0.0088, ,0.0062,
 ,0.0086, ,0.0051, ,0.1603, ,5e-04, ,0.0068, ,0.0043,
 ,0.3386, ,0.3348, ,0.3969, ,8e-04, ,0.3268, ,0.3239,
 ,0.6271, ,0.6227, ,0.3665, ,3e-04, ,0.4704, ,0.4672,
 ,0.0664, ,0.0626, ,0.143, ,4e-04, ,0.0612, ,0.0582,
 ,0.7024, ,0.6985, ,0.9566, ,4e-04, ,0.6405, ,0.6375,
 ,0.1084, ,0.1034, ,0.1566, ,4e-04, ,0.0813, ,0.0785,
 ,0.0115, ,0.0066, ,0.8224, ,4e-04, ,0.007, ,0.004,
 ,0.0132, ,0.0097, ,0.8028, ,4e-04, ,0.0106, ,0.008,
 ,1.2622, ,1.2577, ,0.961, ,4e-04, ,1.1344, ,1.1312,
 ,0.154, ,0.1501, ,0.1448, ,5e-04, ,0.1418, ,0.1389,
 ,0.0404, ,0.0368, ,0.411, ,4e-04, ,0.0287, ,0.0261,
 ,0.0102, ,0.0068, ,0.5941, ,4e-04, ,0.0085, ,0.0059,
 ,0.0086, ,0.0053, ,0.155, ,4e-04, ,0.0065, ,0.0042,
 ,0.3347, ,0.3309, ,0.3781, ,4e-04, ,0.2808, ,0.2779,
 ,0.5108, ,0.5065, ,0.3572, ,4e-04, ,0.4702, ,0.4669,
 ,0.0654, ,0.0617, ,0.1414, ,3e-04, ,0.0631, ,0.0602,
 ,0.8994, ,0.8951, ,1.021, ,4e-04, ,0.7453, ,0.7423,
 ,0.0852, ,0.0815, ,0.1527, ,4e-04, ,0.0801, ,0.0771,
 ,0.0083, ,0.005, ,0.3888, ,5e-04, ,0.0072, ,0.0046,
 ,0.0124, ,0.0089, ,0.4161, ,4e-04, ,0.0105, ,0.0079,
 ,1.4336, ,1.429, ,0.9635, ,4e-04, ,1.2163, ,1.2127,
 ,0.1521, ,0.1481, ,0.15, ,5e-04, ,0.1451, ,0.1419,
 ,0.0392, ,0.0357, ,0.3866, ,4e-04, ,0.0347, ,0.0313,
 ,0.0104, ,0.0069, ,0.5834, ,4e-04, ,0.0089, ,0.0063,
 ,0.0088, ,0.0054, ,0.1564, ,5e-04, ,0.0073, ,0.0047,
 ,0.3644, ,0.3606, ,0.3797, ,5e-04, ,0.3171, ,0.3142,
 ,0.5633, ,0.559, ,0.371, ,4e-04, ,0.4918, ,0.4886,
 ,0.0703, ,0.0652, ,0.1432, ,4e-04, ,0.0629, ,0.0593,
 ,0.6635, ,0.6596, ,0.8918, ,3e-04, ,0.6863, ,0.6832,
 ,0.086, ,0.0822, ,0.1457, ,3e-04, ,0.0809, ,0.0781,
 ,0.0154, ,0.0051, ,0.1374, ,4e-04, ,0.0065, ,0.004,
 ,0.0129, ,0.0094, ,0.6766, ,4e-04, ,0.0112, ,0.0087,
 ,1.1411, ,1.137, ,0.9486, ,4e-04, ,1.1687, ,1.1655,
 ,0.1491, ,0.1452, ,0.1519, ,5e-04, ,0.1425, ,0.1394,
 ,0.0395, ,0.0359, ,0.3975, ,4e-04, ,0.0305, ,0.0278,
 ,0.0103, ,0.0069, ,0.9829, ,4e-04, ,0.0085, ,0.006,
 ,0.0089, ,0.0051, ,0.1411, ,4e-04, ,0.0068, ,0.0043,
 ,0.3222, ,0.3185, ,0.3643, ,4e-04, ,0.2972, ,0.2941,
 ,0.5386, ,0.5343, ,0.3615, ,4e-04, ,0.4948, ,0.4916,
 ,0.092, ,0.0881, ,0.142, ,4e-04, ,0.0619, ,0.0589,
 ,0.664, ,0.66, ,1.1842, ,4e-04, ,0.7504, ,0.747,
 ,0.0836, ,0.0797, ,0.1534, ,5e-04, ,0.0808, ,0.0778,
 ,0.0084, ,0.0049, ,0.1346, ,4e-04, ,0.0066, ,0.0041,
 ,0.0123, ,0.0087, ,0.5253, ,4e-04, ,0.0101, ,0.0077,
 ,1.1441, ,1.1402, ,0.9396, ,4e-04, ,1.2544, ,1.2507,
