Arbrook,FrameTime,SetupTime,DrawCallTime,BGFX,FrameTime,SetupTime,Native,FrameTime,SetupTime,
 ,0.0354,2.2297,0.0046, ,2e-04,123.497, ,2e-04,0.1965,
 ,0.0949, ,0.0016, ,3e-04, , ,3e-04, ,
 ,0.0381, ,0.0011, ,3e-04, , ,3e-04, ,
 ,0.0317, ,0.001, ,3e-04, , ,5e-04, ,
 ,0.0234, ,0.0048, ,3e-04, , ,2e-04, ,
 ,0.1258, ,0.0019, ,3e-04, , ,3e-04, ,
 ,0.0203, ,0.0014, ,3e-04, , ,3e-04, ,
 ,0.0222, ,0.0015, ,3e-04, , ,3e-04, ,
 ,0.02, ,0.0038, ,3e-04, , ,3e-04, ,
 ,0.0204, ,0.0015, ,3e-04, , ,3e-04, ,
 ,0.0207, ,0.0013, ,2e-04, , ,2e-04, ,
 ,0.0207, ,0.0012, ,1e-04, , ,3e-04, ,
 ,0.0277, ,0.0036, ,3e-04, , ,3e-04, ,
 ,0.0329, ,0.0014, ,2e-04, , ,3e-04, ,
 ,0.0229, ,0.0014, ,2e-04, , ,3e-04, ,
 ,0.0228, ,0.0013, ,2e-04, , ,2e-04, ,
 ,0.0202, ,0.0031, ,2e-04, , ,3e-04, ,
 ,0.021, ,0.0016, ,3e-04, , ,2e-04, ,
 ,0.0201, ,0.0011, ,2e-04, , ,3e-04, ,
 ,0.0207, ,0.0011, ,2e-04, , ,3e-04, ,
 ,0.0199, ,0.0027, ,2e-04, , ,3e-04, ,
 ,0.0226, ,0.0012, ,2e-04, , ,3e-04, ,
 ,0.0208, ,0.0027, ,2e-04, , ,3e-04, ,
 ,0.0305, ,0.0013, ,2e-04, , ,3e-04, ,
 ,0.0204, ,0.0028, ,3e-04, , ,3e-04, ,
 ,0.0211, ,0.001, ,2e-04, , ,2e-04, ,
 ,0.02, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0204, ,0.001, ,1e-04, , ,2e-04, ,
 ,0.0201, ,0.0028, ,2e-04, , ,3e-04, ,
 ,0.0205, ,0.0011, ,2e-04, , ,3e-04, ,
 ,0.0203, ,0.0011, ,2e-04, , ,2e-04, ,
 ,0.0202, ,0.001, ,2e-04, , ,2e-04, ,
 ,0.0201, ,0.0027, ,2e-04, , ,3e-04, ,
 ,0.0204, ,0.0011, ,2e-04, , ,2e-04, ,
 ,0.0197, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0223, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0198, ,0.0027, ,1e-04, , ,3e-04, ,
 ,0.0202, ,0.0011, ,2e-04, , ,3e-04, ,
 ,0.0203, ,0.001, ,1e-04, , ,2e-04, ,
 ,0.0204, ,0.0011, ,2e-04, , ,3e-04, ,
 ,0.0202, ,0.0027, ,2e-04, , ,3e-04, ,
 ,0.0206, ,0.0011, ,3e-04, , ,2e-04, ,
 ,0.0201, ,0.001, ,3e-04, , ,2e-04, ,
 ,0.0215, ,0.001, ,3e-04, , ,3e-04, ,
 ,0.0208, ,0.0028, ,3e-04, , ,3e-04, ,
 ,0.0208, ,0.0011, ,4e-04, , ,3e-04, ,
 ,0.0201, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0205, ,0.001, ,3e-04, , ,3e-04, ,
 ,0.0204, ,0.0039, ,2e-04, , ,3e-04, ,
 ,0.0205, ,0.0021, ,3e-04, , ,2e-04, ,
 ,0.02, ,0.0014, ,2e-04, , ,3e-04, ,
 ,0.0208, ,0.0013, ,2e-04, , ,3e-04, ,
 ,0.0241, ,0.0038, ,2e-04, , ,3e-04, ,
 ,0.0212, ,0.0019, ,4e-04, , ,3e-04, ,
 ,0.0206, ,0.0018, ,3e-04, , ,3e-04, ,
 ,0.0206, ,0.0025, ,4e-04, , ,3e-04, ,
 ,0.0296, ,0.0037, ,4e-04, , ,3e-04, ,
 ,0.022, ,0.0014, ,3e-04, , ,3e-04, ,
 ,0.0263, ,0.0011, ,4e-04, , ,2e-04, ,
 ,0.0206, ,0.001, ,4e-04, , ,3e-04, ,
 ,0.0315, ,0.0029, ,3e-04, , ,3e-04, ,
 ,0.0223, ,0.0011, ,2e-04, , ,3e-04, ,
 ,0.0204, ,0.0011, ,2e-04, , ,3e-04, ,
 ,0.0204, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0202, ,0.0028, ,1e-04, , ,2e-04, ,
 ,0.0204, ,0.0011, ,2e-04, , ,3e-04, ,
 ,0.0199, ,0.001, ,2e-04, , ,2e-04, ,
 ,0.0201, ,0.001, ,1e-04, , ,3e-04, ,
 ,0.02, ,0.0029, ,2e-04, , ,3e-04, ,
 ,0.026, ,0.001, ,2e-04, , ,2e-04, ,
 ,0.025, ,0.0011, ,2e-04, , ,3e-04, ,
 ,0.0254, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0247, ,0.0027, ,1e-04, , ,2e-04, ,
 ,0.0226, ,0.0011, ,1e-04, , ,2e-04, ,
 ,0.0198, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0202, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0203, ,0.0028, ,2e-04, , ,3e-04, ,
 ,0.0204, ,0.0011, ,1e-04, , ,3e-04, ,
 ,0.0204, ,0.001, ,2e-04, , ,3e-04, ,
