Arbrook,FrameTime,SetupTime,DrawCallTime,BGFX,FrameTime,SetupTime,Native,FrameTime,SetupTime,
 ,0.041,1.8112,0.0183, ,4e-04,103.70049, ,2e-04,0.1661,
 ,0.0167, ,5e-04, ,3e-04, , ,5e-04, ,
 ,0.016, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.0159, ,3e-04, ,3e-04, , ,4e-04, ,
 ,0.0168, ,0.0016, ,2e-04, , ,4e-04, ,
 ,0.0158, ,3e-04, ,3e-04, , ,5e-04, ,
 ,0.0153, ,3e-04, ,2e-04, , ,5e-04, ,
 ,0.0168, ,3e-04, ,3e-04, , ,4e-04, ,
 ,0.0153, ,0.0015, ,3e-04, , ,4e-04, ,
 ,0.0151, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.0163, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.0151, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.0152, ,0.0015, ,3e-04, , ,4e-04, ,
 ,0.015, ,3e-04, ,3e-04, , ,4e-04, ,
 ,0.0151, ,2e-04, ,3e-04, , ,4e-04, ,
 ,0.016, ,2e-04, ,2e-04, , ,4e-04, ,
 ,0.0151, ,0.0016, ,3e-04, , ,4e-04, ,
 ,0.0152, ,4e-04, ,3e-04, , ,4e-04, ,
 ,0.0151, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.0152, ,3e-04, ,2e-04, , ,3e-04, ,
 ,0.0151, ,0.0015, ,2e-04, , ,5e-04, ,
 ,0.0152, ,4e-04, ,3e-04, , ,4e-04, ,
 ,0.0151, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.0162, ,3e-04, ,3e-04, , ,4e-04, ,
 ,0.0212, ,0.0015, ,3e-04, , ,4e-04, ,
 ,0.0152, ,4e-04, ,2e-04, , ,4e-04, ,
 ,0.0157, ,3e-04, ,3e-04, , ,3e-04, ,
 ,0.0152, ,3e-04, ,3e-04, , ,3e-04, ,
 ,0.0153, ,0.0014, ,2e-04, , ,4e-04, ,
 ,0.0152, ,3e-04, ,3e-04, , ,3e-04, ,
 ,0.0152, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.0192, ,3e-04, ,3e-04, , ,4e-04, ,
 ,0.0151, ,0.0014, ,2e-04, , ,4e-04, ,
 ,0.0152, ,4e-04, ,2e-04, , ,4e-04, ,
 ,0.0152, ,2e-04, ,4e-04, , ,3e-04, ,
 ,0.0171, ,3e-04, ,2e-04, , ,3e-04, ,
 ,0.0152, ,0.0014, ,3e-04, , ,4e-04, ,
 ,0.0151, ,4e-04, ,3e-04, , ,4e-04, ,
 ,0.0154, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.0152, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.0151, ,0.0014, ,3e-04, , ,4e-04, ,
 ,0.0151, ,3e-04, ,3e-04, , ,4e-04, ,
 ,0.0152, ,3e-04, ,3e-04, , ,4e-04, ,
 ,0.0152, ,3e-04, ,3e-04, , ,3e-04, ,
 ,0.015, ,0.0015, ,3e-04, , ,4e-04, ,
