Arbrook,Frame Time,BGFX,Frame Time,Native,Frame Time,
 ,4.4317, ,4.0137, ,4.0639,
 ,3.3493, ,45.0005, ,3.7071,
 ,3.626, ,1.1874, ,3.3385,
 ,3.4738, ,1.1578, ,2.6925,
 ,2.7531, ,37.0711, ,2.8662,
 ,2.4017, ,39.5053, ,2.9797,
 ,2.6686, ,39.0452, ,2.8106,
 ,2.6327, ,39.2437, ,2.8954,
 ,2.4318, ,38.9008, ,2.9425,
 ,2.5807, ,39.2884, ,2.7837,
 ,2.6144, ,38.8692, ,2.7558,
 ,2.4693, ,38.7677, ,2.9734,
 ,2.7344, ,38.6902, ,2.9448,
 ,2.5632, ,38.9763, ,2.9309,
 ,2.5424, ,39.6947, ,2.8506,
 ,2.5954, ,38.6214, ,2.8085,
 ,2.6696, ,38.6782, ,2.7272,
 ,2.6441, ,38.7026, ,2.8246,
 ,2.5052, ,38.9897, ,2.7739,
 ,2.6332, ,39.4678, ,2.9602,
 ,2.6203, ,38.6995, ,2.8568,
 ,2.683, ,38.6975, ,2.8234,
 ,2.5456, ,38.9748, ,2.7872,
 ,2.5962, ,38.5911, ,2.6887,
 ,2.4258, ,38.9704, ,2.9144,
 ,2.6022, ,38.5843, ,2.8571,
 ,2.5383, ,38.7221, ,2.8392,
 ,2.6764, ,38.6779, ,2.8402,
 ,2.6585, ,38.9227, ,2.707,
 ,2.542, ,39.4126, ,2.9492,
 ,2.5199, ,38.5667, ,3.0172,
 ,2.4659, ,38.7371, ,2.9467,
 ,2.5738, ,38.651, ,2.9448,
 ,2.5409, ,38.7121, ,2.8417,
 ,2.6421, ,39.0816, ,2.8874,
 ,2.5969, ,39.3478, ,2.7964,
 ,2.4522, ,39.0754, ,2.8374,
 ,2.5012, ,38.5224, ,2.7851,
 ,2.5459, ,38.5811, ,2.8807,
 ,2.4682, ,38.8386, ,2.9654,
 ,2.6434, ,38.8453, ,2.8881,
 ,2.3886, ,38.678, ,2.943,
 ,2.6682, ,38.7921, ,2.7923,
 ,2.6411, ,38.5815, ,2.8372,
 ,2.5156, ,38.9373, ,2.9546,
 ,2.6346, ,39.1739, ,2.8221,
 ,2.5978, ,38.6659, ,3.005,
 ,2.5864, ,38.655, ,2.8657,
 ,2.6953, ,38.6852, ,2.986,
 ,2.5595, ,38.9301, ,2.8102,
 ,2.3929, ,39.3672, ,2.8797,
 ,2.5302, ,38.5765, ,2.8085,
 ,2.4997, ,38.685, ,2.9185,
 ,2.5214, ,38.6922, ,2.8184,
 ,2.5923, ,38.5381, ,2.9309,
 ,2.6603, ,38.9347, ,2.8088,
 ,2.6491, ,39.248, ,2.9547,
 ,2.626, ,38.7547, ,2.9189,
 ,2.5679, ,38.5624, ,2.8608,
 ,2.4326, ,38.6201, ,2.8381,
 ,2.4727, ,39.2134, ,2.9488,
 ,2.6336, ,39.1497, ,2.8443,
 ,2.6375, ,38.8083, ,2.7299,
 ,2.6281, ,38.5917, ,2.8184,
 ,2.6325, ,38.6328, ,2.7977,
 ,2.5206, ,39.0641, ,2.9135,
 ,2.489, ,39.222, ,2.8848,
 ,2.491, ,38.6557, ,2.829,
 ,2.5593, ,38.6952, ,2.8277,
 ,2.3975, ,38.8005, ,2.9403,
 ,2.5753, ,38.9615, ,2.9165,
 ,2.6372, ,38.5527, ,2.882,
 ,2.5892, ,39.2686, ,2.8735,
 ,2.6546, ,38.6364, ,2.8603,
 ,2.5107, ,38.8293, ,2.8804,
 ,2.616, ,38.7425, ,2.9159,
 ,2.6208, ,39.3739, ,2.8806,
 ,2.6903, ,38.3533, ,2.887,
 ,2.5519, ,38.6797, ,2.8061,
 ,2.6493, ,39.1397, ,2.9029,
 ,2.5902, ,38.8603, ,2.9144,
 ,2.6122, ,38.5831, ,2.7375,
 ,2.5324, ,38.8403, ,2.9682,
 ,2.6457, ,39.3501, ,2.7848,
 ,2.5597, ,38.5716, ,2.819,
 ,2.5098, ,38.8435, ,2.8866,
 ,2.642, ,38.6651, ,2.7175,
 ,2.5595, ,38.7483, ,2.9276,
 ,2.7203, ,38.9704, ,2.9869,
 ,2.527, ,39.0697, ,2.781,
 ,2.5047, ,38.9342, ,2.8156,
 ,2.713, ,38.4422, ,2.7196,
 ,2.5811, ,38.9641, ,2.9744,
 ,2.4863, ,38.7415, ,2.686,
 ,2.6624, ,39.2594, ,2.8323,
 ,2.4108, ,38.6639, ,2.9323,
 ,2.5652, ,38.8826, ,2.7199,
 ,2.4908, ,38.6023, ,2.8354,
 ,2.523, ,38.966, ,2.7154,
 ,2.6258, ,39.0328, ,2.9148,
 ,2.6123, ,38.6861, ,2.9966,

