Arbrook,FrameTime,SetupTime,BGFX,FrameTime,SetupTime,Native,FrameTime,SetupTime,
 ,0.9081,1.271, ,1.7706,61.2968, ,0.6717,0.8783,
 ,0.7778, , ,1.467, , ,0.6898, ,
 ,0.9803, , ,0.9562, , ,0.7701, ,
 ,0.7608, , ,37.6292, , ,0.6913, ,
 ,0.7763, , ,39.4119, , ,0.6873, ,
 ,0.7728, , ,39.5534, , ,0.6882, ,
 ,0.7596, , ,38.3719, , ,0.6825, ,
 ,0.792, , ,38.8073, , ,0.6882, ,
 ,0.7626, , ,39.6328, , ,0.6899, ,
 ,0.7644, , ,39.0408, , ,0.6879, ,
 ,0.7572, , ,38.559, , ,0.6892, ,
 ,0.7531, , ,38.6314, , ,0.6935, ,
 ,0.7743, , ,38.5927, , ,0.6909, ,
 ,0.7599, , ,38.7505, , ,0.7016, ,
 ,0.7567, , ,39.8687, , ,0.7217, ,
 ,0.7545, , ,38.8643, , ,0.6884, ,
 ,0.7672, , ,38.3226, , ,0.6845, ,
 ,0.7713, , ,38.7495, , ,0.7094, ,
 ,0.77, , ,38.6628, , ,0.7015, ,
 ,0.7541, , ,39.1551, , ,0.7168, ,
 ,0.7505, , ,38.584, , ,0.689, ,
 ,0.7572, , ,39.0434, , ,0.6854, ,
 ,0.7978, , ,38.5477, , ,0.7044, ,
 ,0.7815, , ,38.5835, , ,0.6871, ,
 ,0.7482, , ,38.6638, , ,0.707, ,
 ,0.8346, , ,39.1704, , ,0.7107, ,
 ,0.7632, , ,38.7001, , ,0.6903, ,
 ,0.7672, , ,38.7179, , ,0.6961, ,
 ,0.7586, , ,38.6483, , ,0.6892, ,
 ,0.749, , ,38.6903, , ,0.7064, ,
 ,0.7544, , ,39.2334, , ,0.7243, ,
 ,0.7482, , ,38.6099, , ,0.6901, ,
 ,0.7767, , ,38.6494, , ,0.6795, ,
 ,0.7652, , ,38.6525, , ,0.6997, ,
 ,0.8099, , ,38.6713, , ,0.7086, ,
 ,0.7362, , ,38.7133, , ,0.714, ,
 ,0.7411, , ,39.2006, , ,0.7217, ,
 ,0.7854, , ,38.7608, , ,0.6869, ,
 ,0.7679, , ,38.8058, , ,0.6878, ,
 ,0.7622, , ,38.6437, , ,0.7033, ,
 ,0.7414, , ,38.6177, , ,0.7116, ,
 ,0.7392, , ,39.1523, , ,0.712, ,
 ,0.7706, , ,39.0955, , ,0.6904, ,
 ,0.7733, , ,38.9849, , ,0.6932, ,
 ,0.7587, , ,38.6178, , ,0.7025, ,
 ,0.7621, , ,38.7041, , ,0.7144, ,
 ,0.7487, , ,39.0957, , ,0.7245, ,
 ,0.7362, , ,38.786, , ,0.7175, ,
 ,0.7595, , ,38.5828, , ,0.6908, ,
 ,0.752, , ,38.8127, , ,0.6898, ,
 ,0.7653, , ,38.6676, , ,0.722, ,
 ,0.7433, , ,38.837, , ,0.7097, ,
 ,0.7359, , ,38.9389, , ,0.7071, ,
 ,0.7579, , ,38.5859, , ,0.716, ,
 ,0.7629, , ,38.611, , ,0.6865, ,
 ,0.7588, , ,38.672, , ,0.7, ,
 ,0.7388, , ,38.7006, , ,0.7087, ,
 ,0.7416, , ,39.1496, , ,0.6929, ,
 ,0.7463, , ,38.9651, , ,0.7089, ,
 ,0.7539, , ,38.7417, , ,0.6989, ,
 ,0.7494, , ,38.7527, , ,0.6831, ,
 ,0.7479, , ,38.6498, , ,0.6967, ,
 ,0.7643, , ,38.7267, , ,0.708, ,
 ,0.7355, , ,39.7631, , ,0.7063, ,
 ,0.7501, , ,38.6227, , ,0.688, ,
 ,0.7336, , ,38.728, , ,0.6887, ,
 ,0.7534, , ,38.6287, , ,0.6847, ,
 ,0.7398, , ,38.6913, , ,0.699, ,
 ,0.7352, , ,39.1329, , ,0.7009, ,
 ,0.741, , ,39.1345, , ,0.7217, ,
 ,0.7469, , ,38.6346, , ,0.6962, ,
 ,0.7543, , ,38.6048, , ,0.7007, ,
 ,0.7679, , ,38.6985, , ,0.6871, ,
 ,0.7552, , ,39.3212, , ,0.7097, ,
 ,0.7416, , ,38.9799, , ,0.7001, ,
 ,0.7514, , ,38.6542, , ,0.7031, ,
 ,0.769, , ,38.6601, , ,0.6885, ,
 ,0.7609, , ,38.434, , ,0.7052, ,
 ,0.7394, , ,38.7075, , ,0.7075, ,
 ,0.7378, , ,39.0004, , ,0.705, ,
 ,0.741, , ,38.6287, , ,0.7146, ,
 ,0.7542, , ,38.5809, , ,0.7173, ,
 ,0.7645, , ,38.6513, , ,0.6859, ,
 ,0.7379, , ,38.6682, , ,0.6924, ,
 ,0.7349, , ,39.6842, , ,0.709, ,
 ,0.7564, , ,38.672, , ,0.6992, ,
 ,0.7725, , ,38.5707, , ,0.6895, ,
 ,0.7724, , ,38.6321, , ,0.6839, ,
 ,0.758, , ,38.6657, , ,0.6967, ,
 ,0.751, , ,38.715, , ,0.7059, ,
 ,0.75, , ,38.9829, , ,0.7104, ,
 ,0.767, , ,38.6361, , ,0.7917, ,
 ,0.7703, , ,38.6591, , ,0.7066, ,
 ,0.7644, , ,38.6796, , ,0.7126, ,
 ,0.7533, , ,38.6852, , ,0.7204, ,
 ,0.755, , ,39.0815, , ,0.7154, ,
 ,0.7828, , ,38.8528, , ,0.7382, ,
 ,0.771, , ,38.5526, , ,0.7159, ,
 ,0.76, , ,38.5962, , ,0.7082, ,
 ,0.7922, , ,38.7228, , ,0.7124, ,
 ,0.7638, , ,39.1274, , ,0.7093, ,

