Arbrook,FrameTime,SetupTime,BGFX,FrameTime,Native,FrameTime,SetupTime,
 ,0.1789,0.4848, ,0.84, ,0.2692,0.3106,
 ,0.0068, , ,1.0295, ,0.0051, ,
 ,0.0068, , ,0.4644, ,0.0085, ,
 ,0.0065, , ,0.4146, ,0.005, ,
 ,0.0065, , ,0.3971, ,0.0063, ,
 ,0.0065, , ,0.3091, ,0.0064, ,
 ,0.0066, , ,0.2676, ,0.0052, ,
 ,0.0066, , ,0.3436, ,0.0049, ,
 ,0.0065, , ,0.4218, ,0.0048, ,
 ,0.0064, , ,0.3458, ,0.0049, ,
 ,0.0066, , ,0.2813, ,0.0049, ,
 ,0.0065, , ,0.2384, ,0.0051, ,
 ,0.0066, , ,0.3085, ,0.0051, ,
 ,0.0066, , ,0.2072, ,0.0049, ,
 ,0.0065, , ,0.2053, ,0.005, ,
 ,0.0064, , ,0.201, ,0.0048, ,
 ,0.0066, , ,0.1917, ,0.0049, ,
 ,0.0065, , ,0.1936, ,0.005, ,
 ,0.0065, , ,0.1968, ,0.0048, ,
 ,0.0071, , ,0.4724, ,0.0047, ,
 ,0.0066, , ,0.2041, ,0.0048, ,
 ,0.0065, , ,0.2012, ,0.0047, ,
 ,0.0066, , ,0.2013, ,0.0048, ,
 ,0.0065, , ,0.1975, ,0.0047, ,
 ,0.0066, , ,0.1971, ,0.0047, ,
 ,0.0065, , ,0.1984, ,0.0047, ,
 ,0.0066, , ,0.1989, ,0.0048, ,
 ,0.0064, , ,0.1984, ,0.0048, ,
 ,0.0064, , ,0.1986, ,0.0049, ,
 ,0.0065, , ,0.2033, ,0.0047, ,
 ,0.0065, , ,0.1967, ,0.0047, ,
 ,0.0065, , ,0.1973, ,0.0047, ,
 ,0.0065, , ,0.1989, ,0.0047, ,
 ,0.0065, , ,0.2092, ,0.0048, ,
 ,0.0066, , ,0.1976, ,0.0048, ,
 ,0.0066, , ,0.202, ,0.0047, ,
 ,0.0065, , ,0.1965, ,0.0047, ,
 ,0.0066, , ,0.2018, ,0.0047, ,
 ,0.0065, , ,0.1967, ,0.0047, ,
 ,0.0065, , ,0.1969, ,0.005, ,
 ,0.0064, , ,0.197, ,0.0046, ,
 ,0.0065, , ,0.4303, ,0.0048, ,
 ,0.0065, , ,0.2032, ,0.006, ,
 ,0.0065, , ,0.1996, ,0.0058, ,
 ,0.0065, , ,0.1993, ,0.0058, ,
 ,0.0066, , ,0.201, ,0.0048, ,
 ,0.0065, , ,0.1997, ,0.0047, ,
 ,0.0066, , ,0.1981, ,0.0047, ,
 ,0.0065, , ,0.3793, ,0.0047, ,
 ,0.0065, , ,0.2347, ,0.0047, ,
 ,0.0066, , ,0.2708, ,0.0048, ,
 ,0.0066, , ,0.2067, ,0.0048, ,
 ,0.0066, , ,0.1891, ,0.0063, ,
 ,0.0065, , ,0.2054, ,0.0062, ,
 ,0.0065, , ,0.1921, ,0.0048, ,
 ,0.0065, , ,0.2036, ,0.0048, ,
 ,0.0066, , ,0.1978, ,0.0047, ,
 ,0.0066, , ,0.1998, ,0.0047, ,
 ,0.0066, , ,0.1935, ,0.0053, ,
 ,0.0065, , ,1.0194, ,0.0059, ,
 ,0.0065, , ,0.2054, ,0.0075, ,
 ,0.0065, , ,0.2093, ,0.0073, ,
 ,0.0065, , ,0.1981, ,0.0048, ,
 ,0.0065, , ,0.2018, ,0.0075, ,
 ,0.0066, , ,0.197, ,0.0066, ,
 ,0.0065, , ,0.1974, ,0.0068, ,
 ,0.0065, , ,0.1976, ,0.0047, ,
 ,0.0065, , ,0.2003, ,0.0077, ,
 ,0.0066, , ,0.1961, ,0.0048, ,
 ,0.0084, , ,0.1998, ,0.0049, ,
 ,0.0068, , ,0.2026, ,0.0049, ,
 ,0.0065, , ,0.2023, ,0.0047, ,
 ,0.0069, , ,0.2034, ,0.0047, ,
 ,0.0067, , ,0.197, ,0.0048, ,
 ,0.0065, , ,0.198, ,0.0048, ,
 ,0.0065, , ,0.1978, ,0.0048, ,
 ,0.0065, , ,0.2, ,0.0048, ,
 ,0.0066, , ,0.1991, ,0.0048, ,
 ,0.0066, , ,0.1972, ,0.0049, ,
 ,0.0065, , ,0.1967, ,0.0047, ,
 ,0.0065, , ,0.201, ,0.0047, ,
 ,0.0065, , ,0.196, ,0.0048, ,
 ,0.0066, , ,0.1975, ,0.0048, ,
 ,0.0066, , ,0.1974, ,0.0047, ,
 ,0.0066, , ,0.1986, ,0.0048, ,
 ,0.0065, , ,0.1993, ,0.0047, ,
 ,0.0064, , ,0.2027, ,0.0048, ,
 ,0.0066, , ,0.2071, ,0.0049, ,
 ,0.0065, , ,0.2024, ,0.0047, ,
 ,0.0064, , ,0.197, ,0.0048, ,
 ,0.0065, , ,0.1978, ,0.0048, ,
 ,0.0065, , ,0.1995, ,0.0048, ,
 ,0.0065, , ,0.2059, ,0.0048, ,
 ,0.0063, , ,0.2001, ,0.0047, ,
 ,0.0064, , ,0.1976, ,0.0047, ,
 ,0.0065, , ,0.1986, ,0.0048, ,
 ,0.0065, , ,0.2192, ,0.0047, ,
 ,0.0066, , ,0.1992, ,0.0047, ,
 ,0.0065, , ,0.2295, ,0.0047, ,
 ,0.0066, , ,0.2025, ,0.0047, ,
 ,0.0066, , ,0.2008, ,0.0048, ,
 ,0.0064, , ,0.2053, ,0.0047, ,
 ,0.0064, , ,0.1992, ,0.0047, ,
 ,0.0065, , ,0.1987, ,0.0047, ,
 ,0.0065, , ,0.2042, ,0.0047, ,
 ,0.0065, , ,0.2045, ,0.0048, ,
 ,0.0065, , ,0.3573, ,0.006, ,
 ,0.0065, , ,0.2079, ,0.0059, ,
 ,0.0066, , ,0.5298, ,0.0048, ,
 ,0.0065, , ,0.2077, ,0.0048, ,
 ,0.0065, , ,0.1882, ,0.0049, ,
 ,0.0065, , ,0.1988, ,0.0047, ,
 ,0.0064, , ,0.1881, ,0.0047, ,
 ,0.0066, , ,0.1989, ,0.0048, ,
 ,0.0065, , ,0.1895, ,0.0048, ,
 ,0.0065, , ,0.206, ,0.0049, ,
 ,0.0065, , ,0.2015, ,0.0049, ,
 ,0.0064, , ,0.219, ,0.0048, ,
 ,0.0063, , ,0.1986, ,0.0047, ,
 ,0.0065, , ,0.1989, ,0.0047, ,
 ,0.0065, , ,0.199, ,0.0047, ,
 ,0.0126, , ,0.1989, ,0.0047, ,
 ,0.0065, , ,0.2075, ,0.0048, ,
 ,0.0065, , ,0.2056, ,0.0047, ,
 ,0.0064, , ,0.1984, ,0.0047, ,
 ,0.0064, , ,0.2013, ,0.0047, ,
 ,0.0064, , ,0.1988, ,0.0047, ,
 ,0.0064, , ,0.1989, ,0.0048, ,
 ,0.0065, , ,0.1986, ,0.0047, ,
 ,0.0064, , ,0.1988, ,0.0046, ,
 ,0.0063, , ,0.199, ,0.0046, ,
 ,0.0064, , ,0.202, ,0.0046, ,
 ,0.0064, , ,0.1993, ,0.0048, ,
 ,0.0063, , ,0.2056, ,0.0047, ,
 ,0.0064, , ,0.1999, ,0.0047, ,
 ,0.0064, , ,0.1972, ,0.0048, ,
 ,0.0065, , ,0.1977, ,0.0047, ,
 ,0.0082, , ,0.2035, ,0.0047, ,
 ,0.008, , ,0.1985, ,0.0048, ,
 ,0.0065, , ,0.203, ,0.0047, ,
 ,0.0064, , ,0.1977, ,0.0046, ,
 ,0.0064, , ,0.2004, ,0.0047, ,
 ,0.0065, , ,0.2125, ,0.0047, ,
 ,0.0064, , ,0.2014, ,0.0047, ,
 ,0.0063, , ,0.2043, ,0.0047, ,
 ,0.0065, , ,0.1988, ,0.0047, ,
 ,0.0064, , ,0.2012, ,0.0048, ,
 ,0.0064, , ,0.2065, ,0.0047, ,
 ,0.0064, , ,0.1992, ,0.0047, ,
 ,0.0064, , ,0.202, ,0.0048, ,
 ,0.0064, , ,0.1993, ,0.0046, ,
 ,0.0064, , ,0.1995, ,0.0047, ,
 ,0.0064, , ,0.1981, ,0.0047, ,
 ,0.0065, , ,0.2014, ,0.0048, ,
 ,0.0066, , ,0.1995, ,0.0046, ,
 ,0.0065, , ,0.1971, ,0.0047, ,
 ,0.0064, , ,0.2039, ,0.005, ,
 ,0.0064, , ,0.2047, ,0.0046, ,
 ,0.0064, , ,0.1991, ,0.0047, ,
 ,0.0065, , ,0.1986, ,0.0046, ,
 ,0.0064, , ,0.1982, ,0.0046, ,
 ,0.0064, , ,0.2445, ,0.0049, ,
 ,0.0064, , ,0.198, ,0.0052, ,
 ,0.0064, , ,0.1979, ,0.005, ,
 ,0.0063, , ,0.198, ,0.0061, ,
 ,0.0065, , ,0.3153, ,0.0048, ,
 ,0.0064, , ,0.2136, ,0.0047, ,
 ,0.0064, , ,0.2, ,0.005, ,
 ,0.0065, , ,0.1903, ,0.0048, ,
 ,0.0064, , ,0.3619, ,0.0047, ,
 ,0.0065, , ,0.2065, ,0.0048, ,
 ,0.0064, , ,0.2095, ,0.0047, ,
 ,0.0064, , ,0.2046, ,0.0048, ,
 ,0.0065, , ,0.227, ,0.005, ,
 ,0.0064, , ,0.2, ,0.0049, ,
 ,0.0064, , ,0.2044, ,0.0047, ,
 ,0.0063, , ,0.2017, ,0.0048, ,
 ,0.0065, , ,0.1978, ,0.0047, ,
 ,0.0081, , ,0.1982, ,0.0047, ,
 ,0.0078, , ,0.1991, ,0.0047, ,
 ,0.0065, , ,0.2006, ,0.0048, ,
 ,0.0063, , ,0.2004, ,0.0046, ,
 ,0.0064, , ,0.1977, ,0.0047, ,
 ,0.0064, , ,0.1974, ,0.0048, ,
 ,0.0064, , ,0.199, ,0.0047, ,
 ,0.0064, , ,0.1981, ,0.0047, ,
 ,0.0065, , ,0.198, ,0.0051, ,
 ,0.0065, , ,0.2009, ,0.0047, ,
 ,0.0065, , ,0.1975, ,0.0047, ,
 ,0.0065, , ,0.2002, ,0.0048, ,
 ,0.0064, , ,0.1986, ,0.0047, ,
 ,0.0065, , ,0.2073, ,0.0048, ,
 ,0.0064, , ,0.1985, ,0.0047, ,
 ,0.0064, , ,0.1979, ,0.0048, ,
 ,0.0064, , ,0.198, ,0.0047, ,
 ,0.0064, , ,0.2006, ,0.0047, ,
 ,0.0064, , ,0.1984, ,0.0048, ,
 ,0.0065, , ,0.1998, ,0.0047, ,
 ,0.0065, , ,0.1975, ,0.0047, ,
 ,0.0081, , ,0.208, ,0.0047, ,
 ,0.008, , ,0.1981, ,0.0048, ,
 ,0.0066, , ,0.199, ,0.0048, ,
 ,0.0064, , ,0.2015, ,0.0047, ,
 ,0.0065, , ,0.1982, ,0.0047, ,
 ,0.0065, , ,0.2015, ,0.0047, ,
 ,0.0064, , ,0.2007, ,0.0048, ,
